Source,Location ID,City,State,Country,Latitude,Longitude,Elevation,,,
TMY3,123456,Jinta,GS,China,40.06,98.675,1266,,,
Year,Month,Day,Hour,GHI,DNI ,DIF,AP,RH ,WS ,WD
2014,1,14,3,0,0,0,883.9,51.9,2.95,102.5
2014,1,14,4,0,0,0,883.5,53.4,2.775,104.2
2014,1,14,5,0,0,0,882.7,53.1,2.2,109.6
2014,1,14,6,0,0,0,882.1,52.3,1.225,121.3
2014,1,14,7,0,0,0,881.8,51.8,1.1,117.5
2014,1,14,8,1.5,22.9,0.8,881.9,54.8,1.075,130.4
2014,1,14,9,56.3,248.9,25,882,54.3,1,134
2014,1,14,10,195.3,491.2,57.8,882,48.5,1,125.5
2014,1,14,11,338.3,599.7,79.8,882,46.3,1.125,106.8
2014,1,14,12,460,674.7,96.3,881.7,42.2,1.4,97.1
2014,1,14,13,513.3,699.3,101.8,880.7,35.2,1.6,88.8
2014,1,14,14,502.5,695.5,100.8,879.3,30.6,1.8,78.2
2014,1,14,15,431.8,668.1,93.5,878.6,29.5,2,78.3
2014,1,14,16,309.8,606,78.5,878.4,27.8,2.075,83.4
2014,1,14,17,154,460.2,51.5,878.5,26.5,1.875,92.3
2014,1,14,18,22.5,133.8,10.5,878.5,30.8,1.75,98.5
2014,1,14,19,0,0,0,878.6,34.7,2.075,101.3
2014,1,14,20,0,0,0,879,40.7,2.175,108.4
2014,1,14,21,0,0,0,879,42.3,2,127.3
2014,1,14,22,0,0,0,878.9,43,1.8,144.8
2014,1,14,23,0,0,0,878.8,44.3,1.575,153.6
2014,1,15,0,0,0,0,878.4,46.5,1.225,155.3
2014,1,15,1,0,0,0,878.1,47.8,1.025,148.6
2014,1,15,2,0,0,0,877.5,47.1,1,145.5
2014,1,15,3,0,0,0,877.2,47.8,1,156.7
2014,1,15,4,0,0,0,877,48.8,0.925,178.4
2014,1,15,5,0,0,0,876.6,49.6,0.875,206.6
2014,1,15,6,0,0,0,876.2,53.5,0.85,235.4
2014,1,15,7,0,0,0,876.3,57,1.325,251.8
2014,1,15,8,1.3,20.9,1,877,63.8,2.05,256.1
2014,1,15,9,51,188.6,30.5,877.7,65.3,2.525,260.7
2014,1,15,10,182,345.6,91.8,878.5,59.2,3.225,271.8
2014,1,15,11,318.8,437.8,135.8,879.6,48.8,4.975,283.6
2014,1,15,12,439.5,535,159.3,880.2,40.6,7.4,291.5
2014,1,15,13,337.8,262.1,212,879.6,35.1,9.15,297.8
2014,1,15,14,397,372.6,203.8,879.1,33.4,10.25,300
2014,1,15,15,406.8,516.5,150.8,879.2,32.5,10.725,296.2
2014,1,15,16,244.8,324.2,129.8,879.4,30.5,10.35,294.5
2014,1,15,17,121.3,252.7,72.8,879.9,29.3,9.125,294.1
2014,1,15,18,18.5,88,12.8,880.3,33.3,7.425,288.8
2014,1,15,19,0,0,0,880.8,37.4,6.45,288
2014,1,15,20,0,0,0,881.2,39.9,5.3,289.4
2014,1,15,21,0,0,0,881.1,41.8,4.125,293.2
2014,1,15,22,0,0,0,881.1,43.9,3.325,287.5
2014,1,15,23,0,0,0,880.7,43.3,2.925,269.7
2014,1,16,0,0,0,0,880.4,47.4,2.65,257.9
2014,1,16,1,0,0,0,879.8,52.3,2.225,252.4
2014,1,16,2,0,0,0,878.8,54.8,1.95,242.4
2014,1,16,3,0,0,0,878.2,56.6,1.875,234
2014,1,16,4,0,0,0,877.7,60.7,1.825,234.8
2014,1,16,5,0,0,0,877,61.9,2,242.4
2014,1,16,6,0,0,0,876.8,66.3,2.225,255.3
2014,1,16,7,0,0,0,877,69,2.6,270.1
2014,1,16,8,1.5,22.3,1,877.5,72.6,2.975,267.7
2014,1,16,9,58.8,233.1,30.5,877.6,72.4,3.15,261.7
2014,1,16,10,207,461.9,76.8,877.7,62.2,3.025,264.5
2014,1,16,11,351,570.5,104.3,877.3,51.4,3.275,277.3
2014,1,16,12,456,622.3,120.3,877,41.6,4.3,285.9
2014,1,16,13,507,643.3,127.3,876.5,31.1,5.475,288.8
2014,1,16,14,496.3,639.5,125.8,875.5,28.1,6.475,289.8
2014,1,16,15,426.8,609.6,116.5,875,27.1,7.15,290.8
2014,1,16,16,306.8,543.9,97.3,874.6,25.8,7.225,291
2014,1,16,17,153.5,401.2,63.3,874.8,25.1,6.625,290
2014,1,16,18,24,118.6,13.3,875.1,31.1,5.925,287.8
2014,1,16,19,0,0,0,875.4,34,5.325,285.3
2014,1,16,20,0,0,0,875.8,35.8,4.825,286
2014,1,16,21,0,0,0,875.8,36.1,4.625,287
2014,1,16,22,0,0,0,876.3,38.4,4.875,287.8
2014,1,16,23,0,0,0,876.6,40.5,5.075,289
2014,1,17,0,0,0,0,876.8,41.5,5.075,290.2
2014,1,17,1,0,0,0,876.7,44,5,292
2014,1,17,2,0,0,0,876.8,44.8,5.1,292
2014,1,17,3,0,0,0,876.7,44.9,5.225,289.8
2014,1,17,4,0,0,0,876.6,45,5.425,290.3
2014,1,17,5,0,0,0,876.5,43.4,5.775,291
2014,1,17,6,0,0,0,876.7,45.3,6.025,287.5
2014,1,17,7,0,0,0,876.7,46.7,6.35,286
2014,1,17,8,2.5,21.8,2.3,876.9,47.7,6.375,283.5
2014,1,17,9,46.5,139.3,34.5,877.2,46.6,6.225,278.5
2014,1,17,10,143,207.8,99,877.6,42.8,6.075,276.7
2014,1,17,11,252.5,257.4,154.3,877.6,38,6.15,282.4
2014,1,17,12,439.3,552.6,140.8,877.4,34.8,7.35,291.7
2014,1,17,13,515.5,677.7,111.8,876.9,29,8.3,296.8
2014,1,17,14,485.3,601.9,136.3,876.4,28.6,8.875,298
2014,1,17,15,351.3,384.5,166,876.3,29.5,8.925,298.7
2014,1,17,16,275.5,437.8,119,876.3,29.1,8.325,297.8
2014,1,17,17,159.5,442.7,58.3,876.5,28.9,7.15,293.2
2014,1,17,18,26.8,132,13.5,876.7,32.8,5.8,283.7
2014,1,17,19,0,0,0,877.2,36.7,5.175,277.3
2014,1,17,20,0,0,0,877.5,39.7,4.525,273.8
2014,1,17,21,0,0,0,877.5,40.3,3.825,271.3
2014,1,17,22,0,0,0,877.6,43.5,3.2,271.5
2014,1,17,23,0,0,0,877.9,44.7,2.675,269.1
2014,1,18,0,0,0,0,877.8,46.6,2.175,263.7
2014,1,18,1,0,0,0,877.8,50.3,1.65,252.5
2014,1,18,2,0,0,0,877.4,52.5,1.5,233
2014,1,18,3,0,0,0,876.9,54.9,1.5,214
2014,1,18,4,0,0,0,876.2,56.2,1.5,196.2
2014,1,18,5,0,0,0,875.4,54.1,1.575,182.9
2014,1,18,6,0,0,0,874.7,56.1,1.5,174.7
